positionid,city,companyFullName,companyLabelList,district,education,firstType,formatCreateTime,positionName,salary,workYear
1937454,廊坊,智线云科技（北京）有限公司,"['绩效奖金', '股票期权', '领导好', '扁平管理']",广阳区,本科,开发|测试|运维类,2天前发布,Python 中级工程师,8k-15k,1-3年
5913061,北京,北京旷视科技有限公司,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",海淀区,本科,开发|测试|运维类,2天前发布,Python平台开发,24k-40k,不限
5979092,西安,北京神州绿盟信息安全科技股份有限公司,"['技能培训', '节日礼物', '股票期权', '带薪年假']",雁塔区,本科,开发|测试|运维类,16:38发布,Python开发实习生（创新中心）(J11913),3k-4k,应届毕业生
5987474,成都,成都杰门科技股份有限公司,"['带薪年假', '入职即购五险', '周末双休', '扁平管理']",高新区,不限,开发|测试|运维类,1天前发布,Python后端工程师,8k-12k,1-3年
5981765,北京,北京小鸟听听科技有限公司,"['节日礼物', '股票期权', '带薪年假', '领导好']",海淀区,硕士,开发|测试|运维类,2天前发布,python实习,3k-4k,应届毕业生
4363684,深圳,深信服科技股份有限公司,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",南山区,本科,开发|测试|运维类,10:43发布,python开发工程师,12k-24k,不限
1781652,深圳,OPPO广东移动通信有限公司,"['丰厚年终', '扁平管理', '追求极致', '本分']",南山区,本科,开发|测试|运维类,09:40发布,Python工程师（运维平台）,15k-30k,3-5年
5099330,深圳,达而观信息科技（上海）有限公司,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",南山区,本科,开发|测试|运维类,17:08发布,高级python开发工程师,20k-30k,3-5年
5308594,武汉,湖北百旺金赋科技有限公司,"['年底双薪', '交通补助', '带薪年假', '定期体检']",东湖新技术开发区,本科,开发|测试|运维类,16:43发布,python开发,6k-8k,1-3年
2552423,成都,成都中云天下科技有限公司,"['股票期权', '绩效奖金', '年度旅游', '定期体检']",高新区,本科,开发|测试|运维类,14:20发布,Python开发工程师,8k-15k,3-5年
5654687,深圳,深圳佑驾创新科技有限公司,"['无人驾驶', '国际标准', '车厂合作', '海归团队']",南山区,本科,开发|测试|运维类,10:12发布,Python开发工程师,15k-30k,1-3年
3990588,上海,上海斯干网络科技有限公司,"['节日礼物', '股票期权', '扁平管理', '帅哥多']",徐汇区,本科,开发|测试|运维类,16:09发布,Python开发工程师,15k-25k,3-5年
5764968,北京,生仝智能科技（北京）有限公司,"['绩效奖金', '专项奖金', '午餐补助', '定期体检']",大兴区,硕士,开发|测试|运维类,13:44发布,python工程师,14k-20k,不限
5587880,北京,平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",朝阳区,本科,开发|测试|运维类,00:00发布,11215N-Python开发工程师,15k-30k,3-5年
2268991,深圳,心灵失重（北京）科技有限公司,"['媲美名企高薪', '无限量零食', '五险一金', '年度旅游']",南山区,本科,开发|测试|运维类,11:26发布,Python,15k-30k,3-5年
5568790,深圳,深信服科技股份有限公司,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",南山区,本科,开发|测试|运维类,09:11发布,高级python开发工程师,11k-20k,1-3年
5492588,北京,达而观信息科技（上海）有限公司,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",海淀区,本科,开发|测试|运维类,17:08发布,高级python开发工程师,20k-30k,3-5年
4804175,杭州,杭州艾耕科技有限公司,"['股票期权', '扁平管理', '发展前景好', '工程师文化']",西湖区,本科,开发|测试|运维类,10:32发布,python开发工程师,15k-25k,3-5年
5912599,上海,上海舟恩信息技术有限公司,[],徐汇区,大专,开发|测试|运维类,1天前发布,python开发,9k-11k,1年以下
4120873,杭州,杭州嘉云数据科技有限公司,"['海量大数据', '世界级产品', 'AI', '智能供应链']",西湖区,本科,开发|测试|运维类,2天前发布,Python开发工程师（数据方向）,15k-20k,1-3年
5511334,北京,北京流体网络科技有限公司,"['股票期权', '弹性工作', '领导好', '扁平管理']",朝阳区,不限,开发|测试|运维类,14:39发布,python开发工程师（广告系统）,20k-40k,3-5年
4123246,上海,互道信息技术（上海）有限公司,"['节日礼物', '技能培训', '年底双薪', '年度旅游']",浦东新区,本科,开发|测试|运维类,16:19发布,Python工程师,13k-20k,3-5年
3657514,深圳,深圳市杉岩数据技术有限公司,"['股票期权', '扁平管理', '领导好', '五险一金']",南山区,本科,开发|测试|运维类,11:23发布,Python开发工程师,10k-20k,1-3年
2108656,上海,上海进馨网络科技有限公司,"['股票期权', '岗位晋升', '扁平管理', '五险一金']",浦东新区,本科,开发|测试|运维类,09:20发布,Python开发工程师,15k-30k,5-10年
5767906,北京,北京中电广通技术服务有限公司,"['弹性工作', '股票期权', '定期体检', '岗位晋升']",朝阳区,本科,开发|测试|运维类,1天前发布,Python开发工程师,10k-20k,3-5年
5817144,北京,北京逍遥志科技有限公司,"['定期体检', '股票期权', '弹性工作', '领导好']",朝阳区,本科,开发|测试|运维类,16:49发布,Python研发工程师,18k-25k,3-5年
5743897,广州,广州回头车信息科技有限公司,"['五险一金', '带薪年假', '年度旅游', '岗位晋升']",天河区,本科,开发|测试|运维类,16:48发布,python开发工程师,10k-15k,1-3年
5955801,上海,上海久耶供应链管理有限公司,"['技能培训', '绩效奖金', '年度旅游', '垂直生鲜电商']",嘉定区,本科,开发|测试|运维类,2天前发布,python开发工程师,20k-30k,5-10年
5890830,成都,惠州市宝高网络科技有限公司,[],高新区,本科,开发|测试|运维类,15:48发布,python开发工程师,30k-45k,3-5年
5313174,南京,迪原创新（北京）科技有限公司南京分公司,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']",雨花台区,本科,开发|测试|运维类,1天前发布,Python开发工程师,9k-15k,3-5年
4711299,杭州,杭州艾耕科技有限公司,"['股票期权', '扁平管理', '发展前景好', '工程师文化']",西湖区,本科,开发|测试|运维类,10:32发布,Python开发工程师,10k-20k,1-3年
2483626,北京,北京凌云雀科技有限公司,"['股票期权', '顶级技术团队', '带薪年假', '国际化管理']",海淀区,本科,开发|测试|运维类,09:45发布,Python,13k-25k,不限
5297948,上海,优维科技（深圳）有限公司,"['年底双薪', '午餐补助', '股票期权', '弹性工作']",浦东新区,本科,开发|测试|运维类,1天前发布,Python开发工程师—上海,10k-20k,1-3年
4032786,西安,北京神州绿盟信息安全科技股份有限公司,"['技能培训', '节日礼物', '股票期权', '带薪年假']",雁塔区,本科,开发|测试|运维类,16:38发布,python开发工程师,9k-15k,1-3年
4671592,杭州,杭州美登科技股份有限公司,"['年度旅游', '弹性工作', '丰厚年终奖', '技术大咖云集']",拱墅区,本科,开发|测试|运维类,13:48发布,python研发工程师,15k-30k,1-3年
5579093,深圳,深圳市贝多分金融科技有限公司,[],福田区,大专,开发|测试|运维类,09:11发布,python开发工程师,15k-25k,3-5年
5358744,深圳,深圳市零壹移动互联系统有限公司,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']",龙华新区,本科,开发|测试|运维类,2天前发布,python开发工程师,15k-25k,3-5年
5724657,深圳,深圳市乐易网络股份有限公司,"['技术大牛', '两次年度旅游', '福利倍儿好', '年终奖丰厚']",南山区,本科,开发|测试|运维类,16:53发布,python开发工程师,8k-16k,1-3年
5952662,上海,全美在线（北京）教育科技股份有限公司,"['定期体检', '午餐补助', '带薪年假', '六险一金']",浦东新区,本科,开发|测试|运维类,16:13发布,python开发工程师,15k-25k,3-5年
4420992,武汉,深圳比特屋网络有限公司,"['年底双薪', '带薪年假', '年度旅游', '节日礼物']",洪山区,本科,开发|测试|运维类,17:15发布,python工程师,15k-25k,3-5年
4623841,北京,北京势在必行网络科技有限公司,[],海淀区,本科,开发|测试|运维类,11:42发布,python开发工程师,18k-35k,3-5年
5523050,深圳,深圳市一面网络技术有限公司,"['技能培训', '海归精英团队', 'Geek分享', '绩效奖金']",南山区,本科,开发|测试|运维类,17:36发布,Python 工程师（数据平台方向）,10k-20k,1-3年
5852027,深圳,上海奥飞游戏有限公司,[],南山区,大专,开发|测试|运维类,14:51发布,Python开发工程师,6k-10k,1-3年
5858591,厦门,创世云（厦门）信息科技有限公司,"['年底双薪', '股票期权', '带薪年假', '定期体检']",思明区,本科,开发|测试|运维类,09:34发布,Python开发工程师,15k-30k,3-5年
5859352,上海,上海谷露软件有限公司,"['团队融洽', '股票期权', '扁平管理', '通讯津贴']",黄浦区,本科,开发|测试|运维类,14:47发布,python开发工程师,20k-40k,不限
2094102,北京,北京启明合心科技有限公司,"['扁平管理', '最优秀的伙伴', '弹性工作', '公司午晚餐']",海淀区,本科,开发|测试|运维类,14:41发布,Python开发工程师,20k-35k,1-3年
4869004,广州,广州战神同盟网络科技有限公司,"['年底双薪', '年终分红', '绩效奖金', '专项奖金']",天河区,大专,开发|测试|运维类,16:39发布,python开发工程师,10k-18k,3-5年
5958827,上海,上海合合信息科技发展有限公司,"['团队建设', '技能培训', '节日礼物', '年底分红']",静安区,本科,开发|测试|运维类,15:20发布,python开发工程师,10k-18k,1-3年
4176979,上海,上海数旦信息技术有限公司,"['定期体检', '年度旅游', '技能培训', '领导好']",徐汇区,本科,开发|测试|运维类,2019-05-23,Python开发工程师,10k-20k,1-3年
5745535,苏州,上海众言网络科技有限公司,"['技能培训', '节日礼物', '年底双薪', '绩效奖金']",工业园区,本科,开发|测试|运维类,16:53发布,python（高级）开发工程师,10k-20k,3-5年
5941838,北京,南京优玛软件科技有限公司,"['年终分红', '绩效奖金', '五险一金', '交通补助']",石景山区,本科,开发|测试|运维类,16:28发布,python开发工程师,12k-16k,3-5年
5831206,深圳,达而观信息科技（上海）有限公司,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",南山区,本科,开发|测试|运维类,17:08发布,python开发工程师,10k-18k,1-3年
4873422,深圳,广州市梦享网络技术有限公司,"['双休', '五险一金', '节日礼物', '股票期权']",南山区,大专,开发|测试|运维类,15:54发布,Python开发工程师（数据方向）,13k-25k,3-5年
5970054,北京,北京升鑫网络科技有限公司,"['五险一金', '年底双薪', '带薪年假', '扁平管理']",海淀区,本科,开发|测试|运维类,2天前发布,python开发工程师,15k-25k,3-5年
5968705,上海,上海骞云信息科技有限公司,"['年底双薪', '股票期权', '带薪年假', '定期体检']",杨浦区,本科,开发|测试|运维类,10:03发布,python开发工程师,18k-36k,3-5年
5861279,深圳,深圳美西西餐饮管理有限公司,"['年底双薪', '带薪年假', '节日礼物', '美女多']",南山区,本科,开发|测试|运维类,1天前发布,python开发工程师,15k-25k,3-5年
5754772,深圳,深圳市乐易网络股份有限公司,"['技术大牛', '两次年度旅游', '福利倍儿好', '年终奖丰厚']",南山区,本科,开发|测试|运维类,16:53发布,Python,10k-20k,3-5年
1892699,武汉,武汉极意网络科技有限公司,"['股票期权', '绩效奖金', '交通补助', '带薪年假']",东湖新技术开发区,不限,开发|测试|运维类,09:44发布,Python（极验验证）,9k-18k,3-5年
5902281,北京,北京微步在线科技有限公司,"['股票期权', '带薪年假', '五险一金', '扁平管理']",海淀区,本科,开发|测试|运维类,10:56发布,python开发工程师,15k-30k,1-3年
4571447,北京,北京下厨房科技有限公司,"['五险一金', '弹性工作', '带薪年假', '股票期权']",海淀区,本科,开发|测试|运维类,16:20发布,Python开发工程师,15k-25k,1-3年
5851510,上海,达而观信息科技（上海）有限公司,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",浦东新区,本科,开发|测试|运维类,17:08发布,python开发工程师,12k-18k,1-3年
3830574,广州,广州游爱网络技术有限公司,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",天河区,本科,开发|测试|运维类,09:53发布,python开发工程师,7k-12k,1-3年
5646110,深圳,深圳前海联易融金融服务有限公司,"['带薪年假', '定期体检', '六险一金', '婚育礼金']",南山区,本科,开发|测试|运维类,1天前发布,Python开发工程师,13k-25k,不限
